Price,Close,High,Low,Open,Volume
Ticker,BNS.TO,BNS.TO,BNS.TO,BNS.TO,BNS.TO
Date,,,,,
2024-02-29,62.798580169677734,62.88446562120223,62.08289962151598,62.378719198679235,5849000
2024-03-01,62.96080780029297,63.352042721500794,62.79858134000763,63.0466859731389,2864600
2024-03-04,63.60969543457031,63.80054068309466,62.855844326423885,62.95126695068606,4150300
2024-03-05,64.16314697265625,64.33491060149389,63.5428890196159,63.56197791186412,4281100
2024-03-06,64.08680725097656,64.64980575489878,63.96275130380289,64.42079003129301,2187000
2024-03-07,64.4017105102539,64.53530364181617,63.905508490205484,64.32537677813237,1992500
2024-03-08,64.54483795166016,64.6879755073627,64.30627778558208,64.41124484107871,2466200
2024-03-11,64.24903106689453,64.46850236114742,64.05817854984952,64.39216863460851,3303500
2024-03-12,64.32537841796875,64.48759761324696,64.14407032896378,64.41125659889963,2133800
2024-03-13,64.61164093017578,64.82157506203919,64.31582862452056,64.31582862452056,5358300
2024-03-14,63.9055061340332,64.79295034970825,63.50472675412303,64.65935722307152,7628600
2024-03-15,64.35399627685547,64.66889018041772,63.6287712935398,63.67648624149594,10396500
2024-03-18,64.2013168334961,64.46850308005949,63.96275664473888,64.4112509644471,5143200
2024-03-19,64.09635162353516,64.60209807349655,64.07727001120503,64.41125282907771,3550200
2024-03-20,64.73568725585938,64.8120282610867,63.69556836068325,63.96275459869991,5095700
2024-03-21,65.17465209960938,65.53726099688213,64.91700299658204,64.93609189028471,4876100
2024-03-22,65.2509765625,65.52770723963135,65.0792129449798,65.36548806760639,4931500
2024-03-25,65.23189544677734,65.62313035170504,65.06967627352144,65.06967627352144,4597700
2024-03-26,65.32732391357422,65.73764774639362,65.29869785458581,65.43229098338473,6602000
2024-03-27,66.24339294433594,66.25293739057729,65.47046024521234,65.47046024521234,3724000
2024-03-28,66.86365509033203,67.17855631349343,66.14797446329968,66.23385992428906,4889100
2024-04-01,66.22418212890625,66.90241521852415,65.97226655892784,66.75707902845562,5409000
2024-04-02,65.5556411743164,66.0013333600987,65.3909228989646,65.8366150847469,5972200
2024-04-03,65.86569213867188,66.06915984041137,65.40061782604914,65.46844039329564,6735400
2024-04-04,65.5556411743164,66.53422281626874,65.52656802541551,66.22417575693736,4519600
2024-04-05,65.8269271850586,66.14665788131384,65.52656380261251,65.64283421440821,5347600
2024-04-08,66.33075714111328,66.33075714111328,65.88506494179494,65.93351279932952,2137400
2024-04-09,66.35013580322266,66.50515563351202,65.71065959900388,66.30168794819826,1838800
2024-04-10,64.95492553710938,65.87537571895388,64.72239207712542,65.78817844349942,7622500
2024-04-11,64.89678955078125,65.23590236325889,64.49953783323251,64.9742957707012,4446500
2024-04-12,64.34451293945312,64.96460700266083,64.17979467883208,64.70300043068315,3164100
2024-04-15,63.43375015258789,64.97429434933046,63.22059142023501,64.64487259358856,5672900
2024-04-16,62.08698654174805,63.28841800990923,62.019163976418916,63.25935225221177,4022900
2024-04-17,62.22262954711914,62.784592150426164,61.912582488760954,62.183872740811246,2772000
2024-04-18,62.14511489868164,62.561741319416065,61.864133601711465,62.22262851000545,4378100
2024-04-19,62.28076171875,62.64894768651373,61.99009306047379,62.13542554158563,3709900
2024-04-22,62.50361251831055,62.600500840615794,62.0579203220223,62.48423041858641,5625100
2024-04-23,62.5908088684082,62.65863143223295,62.222630292231734,62.53267735430272,3075700
2024-04-24,62.1257438659668,62.70708120106547,61.912585118272716,62.52298821131053,9627100
2024-04-25,61.185909271240234,61.59284465110153,60.614259311873774,61.5637788942693,7667200
2024-04-26,61.64128875732422,61.689732917353126,61.13746136170811,61.234353377818415,3202100
2024-04-29,61.50564193725586,61.83506739085514,61.13745967827963,61.61222130401627,4867800
2024-04-30,61.195594787597656,61.544398643322566,61.13745957962604,61.27310839822647,3382200
2024-05-01,61.69942092895508,61.922267010957256,61.040570036056316,61.040570036056316,3287200
2024-05-02,61.331241607666016,61.912582615315294,61.04057295186762,61.7188022794322,4193500
2024-05-03,62.13542556762695,62.28076174485223,61.66066762132242,61.767246991813956,3735000
2024-05-06,62.8039665222168,62.8330322787663,62.10635879660916,62.49391946551395,2307000
2024-05-07,62.67801284790039,63.114013983145156,62.52298562250361,62.968677807361914,3380700
2024-05-08,63.59846115112305,63.627526907025455,62.41640446372694,62.41640446372694,3862700
2024-05-09,63.51126480102539,63.84068656215178,63.47250799522731,63.57908736314582,1796500
2024-05-10,63.627532958984375,63.889139571198335,63.433756306467366,63.48219677354389,1934600
2024-05-13,63.685665130615234,63.86006705627137,63.65659198291865,63.72441454333466,2085500
2024-05-14,63.49188232421875,64.11197642908799,63.44344186133807,63.85037723163886,1728500
2024-05-15,63.93757629394531,64.1022945702545,63.608154525536996,63.62752923281189,1646800
2024-05-16,63.65659713745117,64.10229673296614,63.65659713745117,63.93757845109962,2261200
2024-05-17,63.860069274902344,63.986023350878085,63.579087974244224,63.8309961261957,2691200
2024-05-21,64.1507339477539,64.24762226669708,63.550014542938385,63.60815344798821,2347100
2024-05-22,63.13339614868164,63.937575856930955,63.04619148627811,63.87944434339859,1931500
2024-05-23,62.95899200439453,63.61784290566922,62.63925390698813,63.35623631975317,2294800
2024-05-24,63.239967346191406,63.45312608265453,62.900854534593215,63.07525646514441,2723500
2024-05-27,63.550018310546875,63.734111301926426,63.27872804458039,63.27872804458039,968600
2024-05-28,63.017127990722656,63.99571705889323,62.823343951819695,62.97837118294206,3763600
2024-05-29,61.53470993041992,62.49392057008433,61.52502257674969,62.39703224917188,3163300
2024-05-30,62.1257438659668,62.261388997752974,61.592846996731595,61.67036061263949,3218300
2024-05-31,62.5132942199707,62.581116782672666,61.57346569564965,62.37764909456679,4633600
2024-06-03,62.37765121459961,62.852416561754126,61.72849132208855,62.31951969948076,3665700
2024-06-04,62.56174087524414,62.6489455353905,61.82538005315803,62.300141679014615,2093000
2024-06-05,62.96867370605469,62.97836475503703,62.33888858008342,62.65862666756023,2956500
2024-06-06,62.6973876953125,63.13339622363784,62.445472149531525,62.978368997894165,3404400
2024-06-07,62.5908088684082,62.91054698019846,62.36796646960049,62.42609798370597,2752600
2024-06-10,61.88351058959961,62.59080564452144,61.825379078488325,62.43578581752313,4773300
2024-06-11,61.73817825317383,61.883510727327824,61.3893744015205,61.6315988878295,3150600
2024-06-12,62.949302673339844,63.07525674904183,62.16449767837955,62.18387238537027,3959500
2024-06-13,62.60049819946289,62.803965885351026,62.42609626982951,62.784591178549476,2479700
2024-06-14,61.71880340576172,62.26138761692571,61.466887855700655,62.251696567125826,3974200
2024-06-17,61.67036056518555,61.73818313102645,61.38937925181458,61.60253799934464,3688300
2024-06-18,61.447509765625,61.99978502940627,61.25373312126955,61.534710734005984,2382200
2024-06-19,61.09870529174805,61.486262249258864,60.87585920956755,61.331238727044074,1629500
