Price,Close,High,Low,Open,Volume
Ticker,WN.TO,WN.TO,WN.TO,WN.TO,WN.TO
Date,,,,,
2024-01-02,162.70901489257812,163.09311037057364,159.88245147614177,159.88245147614177,83700
2024-01-03,161.18247985839844,162.85674185117648,160.72943683485246,161.78324613538445,70200
2024-01-04,161.113525390625,161.113525390625,159.3210848722042,160.92639925911902,121700
2024-01-05,161.15293884277344,161.60596684874028,159.01579057061258,160.75898511171724,81000
2024-01-08,161.58627319335938,162.28551661448324,160.5324639162717,161.13323017989234,103000
2024-01-09,162.8862762451172,164.07796551641997,161.22185756477558,161.42868513436585,113600
2024-01-10,164.4620819091797,164.5704173112672,162.54158932419202,162.5612907685167,109000
2024-01-11,166.8848114013672,167.03254967246278,164.65902937815096,164.76736476583565,86600
2024-01-12,166.66815185546875,168.84470296276444,164.98404665720727,167.88938585094212,78400
2024-01-15,167.81057739257812,168.25376213334883,165.929488018151,165.929488018151,31500
2024-01-16,169.2484893798828,169.33712332632874,165.4666090257571,167.27876597727862,93500
2024-01-17,165.85069274902344,168.0272435670726,164.68856323708656,167.9189081864856,134200
2024-01-18,169.69168090820312,170.06591815072275,166.21512016616498,166.21512016616498,88200
2024-01-19,168.65757751464844,169.96744546744102,168.18484807450758,169.96744546744102,94500
2024-01-22,168.84469604492188,169.96743780702826,168.50984666607198,169.39621620486224,97400
2024-01-23,168.49998474121094,169.39621249538686,167.85983064696924,168.35226149724653,141100
2024-01-24,169.87879943847656,170.44016279102448,168.53938693013112,168.78560235425493,140600
2024-01-25,170.7061004638672,170.9326144738873,168.50000458481455,169.79017116003152,68500
2024-01-26,168.62802124023438,170.35152921282238,168.27347042761866,170.34168600584306,54700
2024-01-29,170.85382080078125,171.0015590874124,167.958324705273,167.958324705273,66600
2024-01-30,170.30230712890625,171.5727873147871,169.2189681243882,171.2280796605592,70000
2024-01-31,168.70681762695312,171.36594129668705,168.34240856736253,170.30228882323402,146700
2024-02-01,170.55836486816406,170.92277396494097,168.83485666200494,169.78033063304375,67400
2024-02-02,171.10989379882812,171.34625101201055,169.19925951067881,169.64244431319423,52900
2024-02-05,168.8249969482422,171.36594202995306,168.70681834884087,170.88335436940184,55600
2024-02-06,167.93862915039062,168.51969397391,167.53483222782387,168.1749863516608,61200
2024-02-07,168.56893920898438,170.03637358539495,167.54467458270025,167.9386282958086,43400
2024-02-08,167.81057739257812,169.78030070960014,166.37267275892168,167.58406341890355,71700
2024-02-09,168.00755310058594,168.24392531761399,167.09163893672138,168.05679919094138,46000
2024-02-12,167.9287872314453,169.46518432796918,167.83031006394702,168.45076280536335,38600
2024-02-13,165.0431365966797,167.37725417386994,164.2552441780954,167.0817926384261,100900
2024-02-14,168.7462158203125,169.06137880706902,165.63404895118455,165.73254114149555,89000
2024-02-15,169.64244079589844,170.7257947598507,168.64773581284996,169.98714842837364,68000
2024-02-16,171.02125549316406,171.70081257908592,168.66743625554733,169.58336559720703,69000
2024-02-20,173.32583618164062,173.562193399381,171.10989709853266,171.2280757074028,109000
2024-02-21,172.69549560546875,173.71974510489017,172.53791413546665,173.29626181053015,46400
2024-02-22,176.5463104248047,176.64480261010357,172.75460173555874,173.92658961274665,76700
2024-02-23,177.87586975097656,178.07283908266308,175.45310339062206,176.58570334646373,98800
2024-02-26,178.7622528076172,180.13121005413075,177.511489191312,178.08271081595908,62200
2024-02-27,178.36830139160156,178.7326954082407,175.4826488235934,176.22129509156792,80900
2024-02-28,175.79782104492188,181.62820075747376,175.54176240186638,176.32963977366717,118900
2024-02-29,175.0690155029297,177.64936345130926,174.13339986612144,175.8175200346142,259500
2024-03-01,176.31979370117188,178.25012929743139,174.50765173099998,174.99022435921685,85900
2024-03-04,173.45382690429688,177.25539342871622,173.28640222914476,175.5121991491816,120800
2024-03-05,173.15838623046875,174.4190079672845,172.78413398654652,174.11368822588682,65300
2024-03-06,173.82809448242188,175.05917163881298,172.8530759645531,173.16823892993193,101300
2024-03-07,178.9099884033203,179.0478684466625,174.21219366663675,174.21219366663675,132400
2024-03-08,179.1857452392578,180.89939502859386,178.65391149044518,179.50089317783792,115600
2024-03-11,178.93951416015625,180.1115019187194,177.4228188157348,177.4228188157348,127000
2024-03-12,180.2493896484375,181.1259159462557,178.89027571535885,178.89027571535885,63200
2024-03-13,179.98348999023438,182.169884340356,179.69788668674917,180.9978964196928,140200
2024-03-14,178.32537841796875,180.5302177983088,177.8606792315906,180.00619787948344,111100
2024-03-15,178.13754272460938,179.35366315915653,177.27736181805872,178.10788235449786,534500
2024-03-18,178.02877807617188,179.37343680174442,177.51463986404352,178.1375377924556,128900
2024-03-19,178.74066162109375,179.946900291519,175.17138458876818,178.02878256685398,122000
2024-03-20,179.51185607910156,180.09519678806163,178.42427400781872,178.90873676181772,102200
2024-03-21,181.13336181640625,181.70682078621337,179.4525421251279,179.91724137502922,114600
2024-03-22,182.66587829589844,183.15035615126314,180.8169781579277,181.11358185849974,137800
2024-03-25,184.29725646972656,184.70263497049658,181.86501563842242,181.9243363777238,108600
2024-03-26,183.87210083007812,185.80998190814793,183.40740162442063,184.326903188813,156500
2024-03-27,183.1898956298828,185.31563591537912,182.32971473736276,184.32691669670027,118100
2024-03-28,180.94549560546875,184.109409119073,179.9073525133912,182.35937190844254,154600
2024-04-01,181.0641632080078,181.84524478655698,180.07544394638887,181.43986626849514,97300
2024-04-02,179.0471649169922,181.06416063051122,178.4737059430175,181.06416063051122,139200
2024-04-03,179.81834411621094,180.59944068078704,178.27594468066408,178.95816329715367,162000
2024-04-04,173.5202178955078,179.94689263237845,172.33375788449396,178.15731331182278,296700
2024-04-05,176.8423309326172,177.41578992511907,173.03575567192638,173.54989392152444,124700
2024-04-08,176.99063110351562,178.1869880584267,175.52733080808076,176.44684757430574,92800
2024-04-09,177.29713439941406,177.71239465351593,174.8846571346394,177.71239465351593,151200
2024-04-10,176.3874969482422,177.70249527751588,176.19965297548097,176.40727555624878,123300
2024-04-11,174.874755859375,178.37483019150324,174.68689680203977,176.96095392453515,84500
