Price,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD
Date,,,,,
2024-03-04,270.69775390625,271.31855734271767,267.42626654673245,268.0273428443548,974600
2024-03-05,269.6040344238281,273.3780834320041,268.4117150867299,271.545263462838,979300
2024-03-06,269.70257568359375,271.8211685433822,269.1803176291169,269.9981821024057,585100
2024-03-07,269.0423278808594,270.9539961050987,268.13575147758513,269.998161992979,761600
2024-03-08,268.3328552246094,269.6237200051399,266.7562175323382,268.45109778895375,696900
2024-03-11,269.27880859375,269.29853573445456,266.4802911530385,267.67264043495265,559700
2024-03-12,270.638671875,271.04268734575584,267.61350266568905,269.02264006383916,845000
2024-03-13,271.3382873535156,271.87040894535943,270.4613016523039,271.4959541241309,829800
2024-03-14,271.3777160644531,272.6094595379409,269.40692650687265,272.26456535099186,839800
2024-03-15,271.1904602050781,272.8853402496928,269.83061074148674,269.83061074148674,1305900
2024-03-18,273.54559326171875,273.66383582222977,270.658393812414,271.9590920498973,865300
2024-03-19,275.61492919921875,276.2554297853498,273.6737002994339,275.0433833923731,703500
2024-03-20,278.42327880859375,278.84702141213825,275.2306093931433,275.91053418670947,1043400
2024-03-21,277.23095703125,280.5911567576738,277.1127144720334,279.2214436124053,1084100
2024-03-22,277.0535888671875,279.0736360566109,277.02402822784484,278.20648387341186,730100
2024-03-25,274.90545654296875,277.3393829409154,274.3240772102593,276.8269583906972,776500
2024-03-26,274.2846374511719,276.3638059602086,274.2846374511719,274.73791062063543,567700
2024-03-27,277.7827453613281,277.81230599790496,274.87584919174947,275.47692549276366,746000
2024-03-28,278.3641662597656,279.0145304336574,277.17184697689544,278.4725753246789,644500
2024-04-01,287.2918395996094,287.69585507298206,282.19736536484436,283.50792720667954,1742900
2024-04-02,286.2966003417969,288.2279656401533,284.22726534334146,287.538177283381,1839000
2024-04-03,287.4298095703125,287.72541597946173,284.2174129221991,286.32617221367207,1296700
2024-04-04,288.93743896484375,290.25786427171414,287.7056955735251,289.2724695586592,1391000
2024-04-05,290.8688049316406,291.1447142491324,287.18343831831623,288.72065166889325,879300
2024-04-08,288.8487548828125,292.1695302294029,288.6122697764483,291.67683287657087,945600
2024-04-09,284.62139892578125,290.36626681426924,283.00536726998786,287.764810395665,1008100
2024-04-10,285.8039245605469,286.4936828975773,282.4732852277598,283.20246777806335,935600
2024-04-11,284.69482421875,285.8237155924673,283.3679024035516,285.0215910680916,710900
2024-04-12,285.06121826171875,287.9131226436257,283.99176922841116,285.59595788828005,1280300
2024-04-15,281.9716491699219,288.9033490617198,281.5854399561542,288.86373088650464,976600
2024-04-16,282.5162658691406,283.5857450431774,280.9120773278983,282.6747083475095,1388500
2024-04-17,281.6844787597656,283.70458267913364,280.90220864956234,283.70458267913364,709000
2024-04-18,282.486572265625,284.11058507575035,281.2487686797907,281.2487686797907,636500
2024-04-19,285.80389404296875,286.46737006662335,283.93235072158626,284.62550260291465,1074900
2024-04-22,288.4676208496094,289.85395469296327,285.2394197273764,287.1109930807627,889000
2024-04-23,289.8638916015625,291.82458334629297,288.8340305641452,289.8638916015625,1132500
2024-04-24,278.36712646484375,287.5367840501825,271.64339991394485,286.36830485156565,4023600
2024-04-25,282.12017822265625,282.9618906780848,276.713460794082,280.00107426573913,1769600
2024-04-26,281.6349792480469,283.9719379237432,280.0406725075809,281.95186422028803,1244200
2024-04-29,284.9820251464844,287.10112933108445,282.64503608572426,285.1503495237675,1293700
2024-04-30,284.288818359375,286.3782465031948,283.6253725678848,284.11058189776395,1423600
2024-05-01,283.7342834472656,285.27905988028414,282.0508585093234,283.7837835019877,890800
2024-05-02,284.55615234375,285.76424975088634,279.75349900978955,283.2490548339101,1134800
2024-05-03,285.3285827636719,286.1801770896395,283.20944860774017,285.18993426233976,974300
2024-05-06,288.5369567871094,288.7646932942876,286.6356772821836,286.6455893806914,870200
2024-05-07,290.5075378417969,290.87392285831737,288.35872779686895,289.4875889229101,715600
2024-05-08,289.8836975097656,291.20073749274303,288.98257284241663,291.1314132368357,1008100
2024-05-09,293.0821838378906,293.37924461136555,289.15091842989705,289.8936005833985,707600
