Price,Close,High,Low,Open,Volume
Ticker,BTC-CAD,BTC-CAD,BTC-CAD,BTC-CAD,BTC-CAD
Date,,,,,
2024-04-03,88777.1875,94620.96875,87720.8671875,94616.4140625,68780391391
2024-04-04,89236.078125,90552.2109375,87598.1015625,88776.7734375,46643492881
2024-04-05,92790.0234375,93610.8203125,87987.1640625,89229.1640625,46645722515
2024-04-06,92187.9609375,93108.2109375,89918.265625,92799.3828125,45862157234
2024-04-07,93633.2578125,94630.109375,91724.6171875,92191.9453125,27137219304
2024-04-08,94364.6328125,95520.046875,93572.8046875,93634.6171875,28848353545
2024-04-09,97210.5546875,98858.7109375,94025.1015625,94364.6328125,50567303968
2024-04-10,93845.5,97349.9140625,92660.15625,97212.109375,49443871136
2024-04-11,96625.984375,97292.0703125,92290.5390625,93847.15625,52453376004
2024-04-12,95902.4609375,97488.796875,95431.3125,96609.3515625,41275458239
2024-04-13,92572.3828125,97625.15625,89907.0,95903.515625,60794729327
2024-04-14,87923.65625,93585.734375,83919.1171875,92562.0703125,72835994810
2024-04-15,90452.734375,90583.953125,85697.890625,87943.984375,67537226578
2024-04-16,87447.234375,91910.453125,85956.859375,90454.0,60106737971
2024-04-17,88184.8046875,88986.8359375,85170.1796875,87437.7109375,59213141427
2024-04-18,84388.546875,89161.75,82586.796875,88212.421875,57724504608
2024-04-19,87463.7265625,88209.6875,83615.6171875,84386.6484375,49584465862
2024-04-20,87813.6328125,90067.6484375,82313.7890625,87460.96875,68663049117
2024-04-21,89396.6015625,90012.828125,86890.484375,87823.9921875,31769436424
2024-04-22,89212.453125,90399.03125,88700.0390625,89394.3671875,28177155360
2024-04-23,91573.8359375,92126.65625,88544.4765625,89224.8046875,38749911032
2024-04-24,90725.6171875,92010.8828125,90211.2265625,91576.875,33213654842
2024-04-25,88086.859375,91660.0390625,87145.46875,90727.59375,41491975923
2024-04-26,88079.5625,89150.7890625,86158.546875,88084.2890625,43923582871
2024-04-27,87220.46875,88514.9140625,86617.5078125,88084.5625,33023869164
2024-04-28,86766.8984375,87422.546875,85406.3828125,87214.5390625,26721040815
2024-04-29,86188.5,88001.4375,85788.9296875,86772.8828125,23672735799
2024-04-30,87259.4453125,87693.4921875,84465.1796875,86179.125,36406550612
2024-05-01,83544.25,88442.015625,81395.03125,87257.125,52136352614
2024-05-02,79989.1640625,83742.09375,77898.9765625,83506.5546875,66513146688
2024-05-03,80800.1484375,81500.3046875,78181.046875,79988.7421875,44705109323
2024-05-04,85954.6875,86543.296875,80443.9921875,80798.609375,45337862501
2024-05-05,87349.2265625,88174.28125,85582.703125,85956.3125,28191286487
2024-05-06,87671.4296875,88332.78125,86069.34375,87350.5703125,25051108852
2024-05-07,86313.6484375,89579.34375,85748.6953125,87681.2578125,39217010972
2024-05-08,85610.578125,88078.2890625,85543.5,86314.7578125,35613239999
2024-05-09,84001.5625,86625.703125,83557.5703125,85607.5859375,35815016794
2024-05-10,86238.9140625,86693.984375,83255.375,84006.03125,34814745043
2024-05-11,83143.2421875,86800.8515625,82319.1953125,86246.0703125,38027446288
2024-05-12,83156.671875,84055.9609375,82744.8359375,83144.03125,18934153079
2024-05-13,84049.7890625,84557.9609375,82936.3046875,83156.390625,18876420179
2024-05-14,85964.578125,86727.3203125,83166.8671875,84053.65625,38114888905
2024-05-15,84044.1796875,86263.90625,83406.6171875,85963.65625,38485535143
